en,es
Tom is afraid of snakes.,Tom le tiene miedo a las serpientes.
Do it yourself by all means.,Hazlo por ti mismo como sea.
You should carry out your duty.,Deberías cumplir con tu deber.
The male peacock has colorful tail feathers.,El pavo real macho tiene coloridas plumas en la cola.
She wept bitterly.,Lloró amargamente.
He is a baseball player.,Es jugador de béisbol.
They don't know us.,Ellos no nos conocen.
The meetings are over.,Las reuniones han concluido.
It was your fault.,Fue culpa tuya.
I read the label.,Leí la etiqueta.
I don't want Tom to make the situation any worse than it already is.,No quiero que Tom empeore la situación más de lo que ya está.
She cooked us a wonderful meal.,Nos preparó una cena maravillosa.
Get well soon!,¡Que te mejores pronto!
When are you going to quit smoking?,¿Cuándo vas a dejar de fumar?
She left the room without saying goodbye.,Ella salió de la habitación sin decir adiós.
The time will come when you will know the truth.,Llegará el tiempo en el que conocerás la verdad.
The girl begged her mother to accompany her.,La chica suplicó a su madre que la acompañara.
I have a few things I want to make clear.,Tengo algunas cosas que quiero aclarar.
The story sounds true.,La historia suena creíble.
I know you speak French.,Sé que hablas francés.
How old is this dog?,¿Qué edad tiene este perro?
This is the same purse that I lost a week ago.,Este es el mismo bolso que perdí hace una semana.
Tom got a raise.,Tom obtuvo un aumento.
"Of all the houses we've looked at, this one is by far the best.","De todas las casas que visitamos, esta es por lejos la mejor."
I've got the devil's own luck in everything.,Tengo la suerte del demonio.
I have no special skill.,No tengo ninguna habilidad especial.
Tom gave Mary what she needed.,Tom le dio a Mary lo que necesitaba.
It's not really up to me.,Realmente no depende de mí.
It's a pity that Mary has no sense of humor.,Es una lástima que Mary no tenga sentido del humor.
Who is on the train?,¿Quién está en el tren?
There's a pattern here.,Hay un patrón aquí.
Not everyone is honest.,No todos son honestos.
"Tom did study, but he didn't study very much.","Tom sí estudió, pero no estudió mucho."
They bought a box of cookies.,Ellas compraron una caja de galletas.
I telephoned my order for the book.,Encargué el libro por teléfono.
It's too difficult for me.,Es demasiado difícil para mí.
Just because he likes painting doesn't mean he's good at it.,Solo porque a él le gusta pintar no significa que sea bueno para ello.
He hid in the bushes so that they would not see him.,Se escondió en los matorrales para que no lo vieran.
He bit his lip.,Él se mordió el labio.
Tom is a friend from school.,Tom es un amigo de la escuela.
Look at that house.,Mira esa casa.
What is my room number?,¿Cuál es el número de mi habitación?
When and where did you buy that old clock?,¿Cuándo y dónde compraste ese reloj antiguo?
He went to the store.,Ha ido a la tienda.
How come you know English so well?,¿Cómo es posible que hables tan bien inglés?
Tom called Mary to tell her that he might need her help later in the afternoon.,Tom llamó a Mary para decirle que podría necesitar su ayuda después esa tarde.
Do you want to play hide and seek?,¿Quieres jugar al escondite?
I prefer to walk.,Prefiero caminar.
A kiss without a mustache is like a bowl of soup with no salt.,Un beso sin bigote es como una sopa sin sal.
Just let Tom go.,Deja que Tom se vaya.
Iron is much more useful than gold.,El hierro es mucho más útil que el oro.
We drank all night.,Tomamos toda la noche.
He fixed the broken table.,Él reparó la mesa rota.
"I'd describe him as a middle-aged man in a yellow jacket, orange tie and a pink shirt.","Lo describiría como un hombre de mediana edad con chaqueta amarilla, corbata naranja y camisa rosada."
"Since he was very drunk, he couldn't drive his car home.","Como estaba muy bebido, no pudo llevar el coche de vuelta a casa."
I can't move my legs.,No puedo mover las piernas.
I take it you disapprove.,Supongo que usted no aprueba.
It will not be long before the new term begins.,No será mucho antes de que el nuevo trimestre empiece.
Give it to her.,Dáselo.
You do nothing else but eat.,No hacés nada más que comer.
I think this is his umbrella.,Creo que este es su paraguas.
Tom seems to be poor.,Tom parece ser pobre.
Do you know all these people?,¿Conocés a toda esta gente?
I'm glad we're together now.,Me alegra que estemos juntos ahora.
This dress is too big for me.,Este vestido es demasiado grande para mí.
I think Tom is deceitful.,Creo que Tom es un embustero.
Tom was born a month premature.,Tom nació un mes prematuramente.
My grandfather died when I was boy.,Mi abuelo murió cuando yo era un niño.
Why aren't they worried?,¿Por qué no están preocupados?
Tom threatened to beat me up.,Tom me amenazó con darme una paliza.
I couldn't stop.,No podría parar.
I know what I want. I just haven't found it yet.,"Sé lo que quiero, es solo que todavía no lo he encontrado."
I knew there was nothing you could do about it.,Supe que no había nada que pudieras hacer al respecto.
I can't afford to buy such an expensive car.,No nos alcanza el dinero para comprar un automóvil tan caro como ése.
I wish I could figure out how to finish this project without asking for help.,Me gustaría saber cómo terminar este proyecto sin tener que pedir ayuda.
I hope we see each other again soon.,Espero que nos volvamos a ver pronto.
I thought Tom was funny.,Pensaba que Tom era gracioso.
We hope to meet you again.,Esperamos verlos nuevamente.
We ate way too much last night.,Anoche comimos demasiado.
I don't like silence.,No me gusta el silencio.
She and I usually have the same opinion.,Ella y yo solemos tener la misma opinión.
I was born on a ship.,Nací en un barco.
Here's some water.,Aquí tienes un poco de agua.
His real name is Tom.,Su nombre de verdad es Tom.
Oranges grow in warm countries.,Las naranjas crecen en países cálidos.
I won't be responsible for my actions.,No seré responsable por mis acciones.
I have to quit smoking.,Tengo que dejar de fumar.
Nobody gave me that.,Nadie me dio eso.
Did you read this morning's extra?,¿Leyó usted la extra de esta mañana?
I didn't know you were rich.,No sabía que eras rico.
The cat jumped onto the table.,El gato saltó sobre la mesa.
Roses are my favorite flowers.,Las rosas son mis flores favoritas.
I was born with twelve fingers.,Nací con doce dedos.
You've been very quiet.,Estás muy callada.
I am four years younger than him.,Soy cuatro años menor que él.
You're driving too fast.,Estás manejando demasiado rápido.
He is no longer a boy.,Él ya no es un muchacho.
We talked about French.,Hablamos sobre el francés.
"Save your breath, Tom.","No vale la pena hablar, Tom."
Tom thought he had outsmarted everybody.,Tom pensó que había sido más listo que todos.
Tom wants to thank you.,Tom quiere decirte gracias.
I've been told that he's a very competent person.,Me han dicho que es una persona muy capaz.
It seems to me that this is too expensive.,Me parece que esto es demasiado caro.
Tom responded immediately.,Tom respondió inmediatamente.
It's been three days.,Han pasado tres días.
I got your letter yesterday.,Recibí tu carta ayer.
He is a man whose heart is filled with hope.,Es un hombre cuyo corazón está lleno de esperanza.
I'm tired. I've got to go now.,"Estoy cansada, ahora me tengo que ir."
"If it rains tomorrow, I'll just stay at home.","Si llueve mañana, me quedaré en casa."
I'd be really grateful.,Yo estaría muy agradecido.
Tom doesn't know that I know.,Tom no sabe que yo sé.
Let's try once more.,Tratemos una vez más.
"If I had enough money, I could buy this camera.","Si tuviese suficiente dinero, podría comprar esta cámara."
I suggest we stay home and watch television.,Sugerí que nos quedáramos en casa y viéramos la televisión.
Whose is this book?,¿De quién es este libro?
I knew this day would come.,Sabía que este día llegaría.
Tom isn't all that honest.,Tom no es tan honesto.
You must be a friend of Tom's.,Debes ser amigo de Tom.
I got laughed at at school today.,Hoy se rieron de mí en el colegio.
The only website Tom visits at least once a day is this one.,"El único sitio web que Tom visita al menos una vez por día, es este."
"Stop pestering me, I'm busy.","Deja de darme la lata, estoy ocupado."
Those trains run every three minutes.,Esos trenes parten cada tres minutos.
Thank you for your help.,Gracias por vuestra ayuda.
I told you I loved you.,Te dije que te amo.
We went to Boston by car.,Fuimos a Boston en auto.
I changed the flag.,Cambié la bandera.
I bit my tongue.,Me mordí la lengua.
Tom is doing the dishes.,Tom está preparando el plato.
It's quarter to eight now.,Son las ocho menos cuarto.
There should be a law against computer hacking.,Debería haber una ley contra el hackeo de computadoras.
Please don't die.,"Por favor, no mueras."
They're yours.,Son vuestros.
Please leave everything to me.,Déjame todo a mí.
"With some books, the more I read them, the less I understand them.","Hay libros que, cuanto más los leo, menos los entiendo."
Don't do anything until I get there.,No hagas nada antes de que esté ahí.
I'll wash dishes.,Voy a lavar los platos.
It doesn't matter.,No es importante.
That guy stole my wallet! Stop him!,¡Aquel tipo me robó la billetera! ¡Paralo!
They'll dance.,Ellos bailarán.
I opened an account in my daughter's name.,Abrí una cuenta a nombre de mi hija.
That's it.,Eso es.
How long are you going to keep whimpering about that? You can't change the past.,¿Por cuánto tiempo vas a continuar lamentándote acerca de eso? No puedes cambiar el pasado.
What's your least favorite food?,¿Cuál es la comida que menos te gusta?
He has a swelling on his head.,Tiene un bulto en la cabeza.
I didn't like the result.,No me gustó el resultado.
He likes to read books.,Le gusta leer libros.
I'm really not all that hungry.,No tengo tanta hambre en realidad.
Everyone left except for us.,Todos se fueron salvo nosotros.
The two enemies were face to face.,Los dos enemigos estaban frente a frente.
Tom definitely needs to be a bit more sociable.,Tom definitivamente necesita ser un poco más sociable.
Tom says he has actually seen a ghost.,Tom dice que él incluso ha visto un fantasma.
Can I borrow your hair drier?,¿Puedo coger tu secador de pelo?
She's an alcoholic.,Ella es una alcohólica.
You are the chosen one.,Eres la elegida.
Tom gave Mary John's message.,Tom le dio a Mary el mensaje de John.
He was knocked out by a punch in the first round.,Fue noqueado de un puñetazo en el primer asalto.
Stop it.,Deténlo.
"He does not study hard, but does very well at school.","No estudia mucho, pero le va muy bien en el colegio."
Tom isn't as good a golfer as he says he is.,Tom no es tan buen golfista como él dice ser.
I must speak to Tom.,Debo hablar con Tom.
I'm proud that my father is a good cook.,Estoy orgullosa de que mi padre sea un buen cocinero.
Where can we park the car?,¿Dónde podemos aparcar el coche?
Many Americans protested the purchase of Alaska.,Muchos estadounidenses protestaron la adquisición de Alaska.
Keep warm.,Mantenete abrigado.
I want something sweet.,Quiero algo dulce.
The prize went to him.,Le tocó el premio.
I have an old bicycle.,Tengo una bicicleta vieja.
Why are you afraid?,¿Por qué tenés miedo?
Tom forgot the rules.,Tom olvidó las normas.
The wet vase left a mark on the table.,El jarrón mojado dejó una marca en la mesa.
What's your favorite thing about the Christmas season?,¿Qué es lo que más te gusta de la navidad?
I have to change the batteries in the radio.,Tengo que cambiarle las pilas a la radio.
He is now almost as tall as his father.,Ahora él es casi tan alto como su padre.
"At last, the day has arrived for us to act.",Al fin ha llegado el día para que actuemos.
Winning a lottery is an easy way of making money.,Ganar la lotería es una forma fácil de hacer dinero.
Do you believe Judas betrayed Jesus Christ?,¿Crees que Judas traicionó a Jesucristo?
Why didn't you follow my advice?,¿Porqué no me hiciste caso?
He speaks broken French.,Habla un francés entrecortado.
There are too many commercials on TV.,En la tele echan demasiados anuncios.
I believed everything they told us.,Yo creí todo lo que nos dijeron.
"The older we grow, the poorer our memory becomes.",Nuestra memoria empeora mientras más viejos nos hacemos.
You should study in an efficient manner.,Deberías estudiar de manera eficiente.
What's there to do?,¿Qué hay que hacer?
How's work?,¿Qué tal el trabajo?
She wouldn't give him a gift.,Ella no le daría un regalo.
She hates him.,Ella le odia.
I wanted your opinion.,Quería vuestra opinión.
He will live forever in our hearts.,Siempre vivirá en nuestros corazones.
He had long hair.,Él tenía melena.
Tom could hardly stand the pain.,Tom apenas podía aguantar el dolor.
The message is written in French.,El mensaje está escrito en francés.
"I hate to interrupt you, but I need to say something.","Odio interrumpirte, pero necesito decir algo."
He didn't really go to the church.,"En realidad, él no fue a la iglesia."
Tom came to visit Mary.,Tom vino a visitar a Mary.
You made the right choice.,Tomasteis la decisión adecuada.
Tom rolled his eyes.,Tom puso los ojos en blanco.
"Running as fast as I could, I was able to catch up with my friend.","Corriendo lo más rápido que pude, logré alcanzar a mi amigo."
I'll eat here.,Comeré aquí.
He didn't say a word.,No ha dicho ni pío.
Tom doesn't look so good.,Tom no tiene tan buen aspecto.
I don't want to be alone.,No quiero estar solo.
If only I could go skiing.,Ay si pudiera ir a esquiar.
How can I tell if I'm really in love?,¿Cómo puedo saber si estoy realmente enamorado?
Few treasures are worth as much as a friend who is wise and helpful.,Pocos tesoros son tan valiosos como un amigo sabio y servicial.
I've learned a lot about modern authors.,Yo he aprendido mucho acerca de autores modernos.
"Don't drink from the bottle, please.","No bebas de la botella, por favor."
When did you begin learning German?,¿Cuándo empezaste a aprender alemán?
He often laughs at his own jokes.,A menudo él se ríe de sus propias bromas.
Can I borrow your shovel?,¿Me prestas tu pala?
The boy and the man are drinking water.,El niño y el hombre están bebiendo el agua.
Stock prices plunged to a record low.,Los precios de las acciones se desplomaron a un mínimo histórico.
We're going to have a baby.,Vamos a tener un bebé.
I wanted to show it to you.,Quería mostrártelo.
What should I do next?,¿Qué debería hacer a continuación?
Think of your family.,¡Piensa en tu familia!
Tom pretended not to know what to do.,Tom fingió que no sabía que hacer.
I'm giving you what you want.,Te estoy dando lo que tú quieres.
I know why Tom is busy.,Yo sé por qué Tom está ocupado.
We haven't known each other long.,No nos conocemos desde hace mucho.
It looks fascinating.,Parece fascinante.
I wanted to see you.,Quería verte.
Do you live in Tokyo?,¿Usted vive en Tokio?
I don't want to get up.,No quiero levantarme.
Let me introduce my parents to you.,Deja que te presente a mis padres.
Tom told Mary what he really thought of her.,Tom le dijo a Mary lo que realmente pensaba de ella.
Tom was waiting for you.,Tom te estaba esperando.
I drank from the tap.,Yo bebí del grifo.
He didn't say a single word.,No dijo ni siquiera una palabra.
Tom always eats before going to work.,Tom siempre come antes de irse a trabajar.
I need a favor.,Necesito un favor.
Has Tom received an invitation yet?,¿Tom ya recibió una invitación?
Will you show me the book?,¿Me enseñarás el libro?
Tom speaks French as if he were a native speaker.,Tom habla francés como un nativo.
I guess we should go get something to eat.,Supongo que deberíamos ir por algo para comer.
Is it important?,¿Es importante?
He still hasn't responded to my letter.,Todavía no ha respondido a mi carta.
I'll call Tom.,Voy a llamar a Tom.
I meant what I said before.,Lo que dije denante lo dije en serio.
I know it's a hard thing to do.,Sé que es algo difícil de hacer.
Are you going along?,¿Vas a seguir?
I want my mother to get well soon.,Quiero que mi madre mejore pronto.
You are tallest.,Eres la más alta.
She loves him.,A ella le gusta.
I read books.,Leo libros.
Tom hasn't cooked the eggs yet.,Tom todavía no ha cocinado los huevos.
I must go there.,Debo ir allá.
The teacher told us that over and over again.,El profesor nos lo dijo una y otra vez.
The income from this source is tax-free.,Los ingresos de esta fuente son libres de impuestos.
"I can't speak English, much less German.","No puedo hablar Inglés, y mucho menos alemán."
I'm not afraid.,No tengo miedo.
Why can't you take things just as they are?,¿Por qué no puedes aceptar las cosas como son?
This is intolerable.,Esto es intolerable.
One of the detectives seized him by the neck.,Uno de los detectives lo agarró por el cuello.
Have a nice trip!,¡Buen viaje!
You're safe now.,Ahora estás a salvo.
Greta Garbo was a Swedish actress.,Greta Garbo era una actriz sueca.
No one seems to care.,A nadie le parece importar.
I get up at seven every morning.,Todas las mañanas me levanto a las siete.
Tom was like a father to Mary.,Tom era como un padre para Mary.
I'll put you up for the night.,Te dejaré quedarte una noche.
Why are you so clumsy?,¿Por qué eres tan torpe?
"Let's not jump to conclusions, okay?","No saquemos conclusiones precipitadas, ¿de acuerdo?"
I am on duty now.,Estoy de guardia ahora.
I think it's dangerous for children to swim in this lake.,Creo que es peligroso que los niños naden en este lago.
That's why I told you not to go by yourself.,Por eso te dije que no fueras sola.
It's sunny today.,Hoy hace sol.
All Tom wanted was for Mary to play a couple of tunes on her ukulele.,Todo lo que Tom quería era que Mary tocara un par de melodías en su ukelele.
Do you have any siblings?,¿Tienes hermanos?
Everybody knew Tom was in trouble.,Todos sabían que Tom estaba en apuros.
I nearly forgot to give it to Tom.,Casi se me olvidó dárselo a Tom.
We go there often.,Vamos allí con frecuencia.
I didn't have time for that.,No tenía tiempo para eso.
Tom is right-handed.,Tom es diestro.
Get off my lawn.,Sal de mi césped.
Did you watch TV last night?,¿Viste la televisión anoche?
My mother isn't at home.,Mi madre no está en casa.
Don't talk nonsense!,¡No digas boludeces!
I could not help feeling sorry for him.,No pude evitar sentir pena por él.
He remained dumb.,Él permaneció mudo.
Who else knows?,¿Quién más sabe?
Are you rich?,¿Usted es rico?
I only want what's best for Tom.,Sólo quiero lo mejor para Tom.
We surrender.,Nos rendimos.
It seems like he knows the secret.,Parece que él sabe el secreto.
"In spite of the language difficulty, we soon became friends.","A pesar de las dificultades de idioma, todos nos hicimos amigos rápido."
Tom said he didn't believe that Mary and I actually did that by ourselves.,Tom dijo que no creía que Mary y yo realmente lo hiciéramos solos.
I don't want to run into Tom.,No quiero toparme con Tom.
Is Tom your nephew?,¿Tom es tu sobrino?
Go away!,¡Vete de aquí!
I did it for Tom.,Lo hice por Tom.
"Tom and Mary walked out, leaving John alone.","Tom y Mary se fueron, dejando a John solo."
My shift's over.,Mi turno terminó.
It rained all last week.,Estuvo lloviendo toda la semana pasada.
You can do it.,¡Puedes hacerlo!
This book is for students whose native language is not Japanese.,Este libro es para estudiantes cuya lengua nativa no sea japonés.
Do you have time on Tuesday?,¿Tienes tiempo el martes?
I'll call back at four o'clock.,Volveré a llamar a las 4.
They decided to put an end to the discussion.,Ellos decidieron terminar la discusión.
May I open a can?,¿Puedo abrir una lata?
You dropped your handkerchief.,Se le cayó su pañuelo.
Tom is very famous.,Tom es muy famoso.
Do cats dream?,¿Los gatos sueñan?
These scissors are suitable for left and right-handed people.,Esta tijera vale para zurdos y diestros.
Tom left town.,Tom dejó el pueblo.
Did she mention the results of the exam?,¿Acaso ella mencionó los resultados del examen?
Tom's great-great-great grandmother lived in Scotland.,La tátara-tátara-tátara-abuela de Tom vivía en Escocia.
Be confident.,Sé confiado.
Tides are caused by the moon's gravity.,Las mareas se producen por la gravedad de la luna.
Tom doubts if Mary will come to his birthday party.,Tom duda si Mary acudirá a su fiesta de cumpleaños.
Do you think Tom is going to agree to this?,¿Creés que Tomás va a estar de acuerdo con esto?
She must have been rich.,Debió haber sido rica.
They don't teach you that in school.,No te enseñan eso en el colegio.
They don't like my friends.,No les gustan mis amigos.
She is in the bathroom.,Está en el cuarto de baño.
What was I supposed to do?,¿Qué debería haber hecho?
I need to go eat something.,Necesito ir a comer algo.
You look like a baboon.,Te parecés a un papión.
I like Czechoslovakia a lot.,Me gusta mucho Checoslovaquia.
There are more girls than boys in this school.,Esta escuela tiene más chicas que chicos.
The children ran down the hill.,Los niños bajaron corriendo la colina.
It is necessary to prepare for the worst.,Es necesario que nos preparemos para lo peor.
An MP3 file is an audio file.,Un archivo MP3 es un archivo de audio.
Jump as high as you can.,Salta lo más alto que puedas.
Tom and his teacher were talking to each other.,Tom y su profesor estaban conversando.
That student's studying sociology.,Ese estudiante está estudiando sociología.
She is very pretty.,Ella es guapísima.
I need to know how to do this.,Necesito saber cómo hacer esto.
I find myself in a rather delicate situation.,Me encuentro en una situación bastante delicada.
You may as well come with me.,Tú también puedes venir conmigo.
That sounds stupid.,Suena bastante estúpido.
We have five fingers on each hand.,Tenemos cinco dedos en cada mano.
They remained friends.,Ellos siguieron siendo amigos.
Tom spent the night in the small cabin near the lake.,Tom pasó la noche en una pequeña cabaña cerca del lago.
She plays tennis every day.,Ella juega al tenis todos los días.
She can't find her hat.,Ella no puede encontrar su sombrero.
I love talking to you.,Me encanta hablar contigo.
Tom has to go to court tomorrow.,Tom tiene que ir a la corte mañana.
He is inclined to get mad.,Él tiene la tendencia a enfadarse.
Kids are smarter than you think.,Los niños son más inteligentes de lo que piensan.
Tom was chosen by lottery.,A Tom lo eligieron por lotería.
I know where Tom is.,Sé donde está Tom.
It's safer to stay here.,Es más seguro quedarse aquí.
I've been thinking about what you said the other day.,He estado pensando sobre lo que dijiste el otro día.
Tom couldn't understand why Mary had to leave.,Tom no podía entender por qué Mary se tenía que ir.
That baby is Tom.,Ese bebé es Tom.
I still remember his name.,Todavía recuerdo su nombre.
The station is dead ahead.,La estación está justo enfrente.
Tom almost never eats breakfast.,Tom no desayuna casi nunca.
I'm busy getting ready for tomorrow.,Estoy ocupado alistándome para mañana.
I could not persuade him that it was true.,No he podido convencerle de que era cierto.
I did something similar.,Hice algo similar.
Why not take your coat off?,¿Por qué no te quitas el abrigo?
His job is to teach English.,Su trabajo es enseñar inglés.
I'll be staying here for a week.,Me quedaré por una semana.
Are you coming down?,¿Vas a bajar?
What time is it there?,¿Qué hora es allí?
The accident wasn't your fault.,No tienes la culpa del accidente.
I got these earrings from my grandmother.,Yo obtuve estos aretes de mi abuela.
When was the last time you had dinner with your wife?,¿Cuándo fue la última vez que cenaste con tu esposa?
I should've finished that sooner.,Debería haberlo terminado antes.
"After a long argument, I finally gave in.",Después de una larga discusión finalmente cedí.
Let me go!,¡Déjame marchar!
Tom is always in a hurry.,Tom siempre está en un apuro.
I don't like living in the country.,No me gusta vivir en el campo.
I can't remember who I gave it to.,No consigo recordar a quién se lo di.
The goldfish is alive.,El pez dorado está vivo.
"If you don't want to read, then don't read.","Si no quieres leer, no leas."
Don't forget your money.,No olvides tu dinero.
Tom had a cramp in his leg.,A Tom le dio un calambre en la pierna.
Many foods can be boiled.,Muchas comidas se pueden hervir.
Tom lowered his voice.,Tom apagó la voz.
We are grateful for the music he left behind.,Estamos agradecidos por el legado musical que él dejó.
I prefer to write in French.,Prefiero escribir en francés.
Tom isn't that far away.,Tomás no está muy lejos de aquí.
Tom doesn't think he's as creative as Mary.,Tom no cree que sea tan creativo como Mary.
Who wrote the letter?,¿Quién ha escrito la carta?
I'm your sister.,Soy tu hermana.
A black and white dog bit me.,Un perro blanco y negro me mordió.
Yesterday was Monday.,Ayer fue lunes.
Fire!,¡Fuego!
She asked me if I was all right.,Me preguntó si yo estaba bien.
It is not especially hot today.,Hoy no hace calor especialmente.
"Somehow, he weaseled himself out of jury duty.","De alguna manera, se escaqueó de su deber como jurado."
Consider me your friend.,Considérame tu amiga.
Tom asked me to tell you something.,Tom me pidió que te dijera algo.
I don't want to talk about my child.,No quiero hablar de mi niño.
Anybody knows it.,Todo el mundo lo sabe.
This is the main gate to their house.,Es la entrada principal de su casa.
Tom wants me to go with him.,Tom quiere que yo vaya con él.
